,Bezirke,Year,Population,crimes_total
0,Berlin,1991,3443575,
1,Berlin,1992,3456891,
2,Berlin,1993,3461421,
3,Berlin,1994,3452284,
4,Berlin,1995,3446039,
5,Berlin,1996,3428644,
6,Berlin,1997,3387901,
7,Berlin,1998,3358235,
8,Berlin,1999,3340887,
9,Berlin,2000,3331232,
10,Berlin,2001,3337232,
11,Berlin,2002,3336248,
12,Berlin,2003,3330242,
13,Berlin,2004,3333108,
14,Berlin,2005,3339436,
15,Berlin,2006,3348805,
16,Berlin,2007,3353858,
17,Berlin,2008,3362843,
18,Berlin,2009,3369672,
19,Berlin,2010,3387562,
20,Berlin,2011,3427114,
21,Berlin,2012,3469621,
22,Berlin,2013,3517424,503165.0
23,Berlin,2014,3562166,543156.0
24,Berlin,2015,3610156,569549.0
25,Berlin,2016,3670622,568860.0
26,Berlin,2017,3711930,520437.0
27,Berlin,2018,3748148,511677.0
28,Berlin,2019,3769495,513426.0
29,Berlin,2020,3769962,504142.0
30,Berlin,2021,3775480,482127.0
31,Berlin,2022,3850809,519827.0
32,Berlin,2023,3878100,
