key,neighborhood,area,year,crime_category,crime_count,rank
7904,Adlershof,Treptow-Köpenick 2,2013,theft_total,913,1.0
23504,Adlershof,Treptow-Köpenick 2,2013,neighborhood_offence,265,2.0
12584,Adlershof,Treptow-Köpenick 2,2013,bike_theft,200,3.0
8059,Adlershof,Treptow-Köpenick 2,2014,theft_total,1024,1.0
23659,Adlershof,Treptow-Köpenick 2,2014,neighborhood_offence,301,2.0
11179,Adlershof,Treptow-Köpenick 2,2014,theft_parts_motor_vehicles,176,3.0
8214,Adlershof,Treptow-Köpenick 2,2015,theft_total,1081,1.0
23814,Adlershof,Treptow-Köpenick 2,2015,neighborhood_offence,287,2.0
12894,Adlershof,Treptow-Köpenick 2,2015,bike_theft,169,3.0
8369,Adlershof,Treptow-Köpenick 2,2016,theft_total,1280,1.0
23969,Adlershof,Treptow-Köpenick 2,2016,neighborhood_offence,383,2.0
13049,Adlershof,Treptow-Köpenick 2,2016,bike_theft,305,3.0
8524,Adlershof,Treptow-Köpenick 2,2017,theft_total,1135,1.0
24124,Adlershof,Treptow-Köpenick 2,2017,neighborhood_offence,307,2.0
19444,Adlershof,Treptow-Köpenick 2,2017,prop_damage_total,215,3.0
8679,Adlershof,Treptow-Köpenick 2,2018,theft_total,1185,1.0
24279,Adlershof,Treptow-Köpenick 2,2018,neighborhood_offence,403,2.0
19599,Adlershof,Treptow-Köpenick 2,2018,prop_damage_total,247,3.0
8834,Adlershof,Treptow-Köpenick 2,2019,theft_total,941,1.0
24434,Adlershof,Treptow-Köpenick 2,2019,neighborhood_offence,382,2.0
19754,Adlershof,Treptow-Köpenick 2,2019,prop_damage_total,233,3.0
8989,Adlershof,Treptow-Köpenick 2,2020,theft_total,1027,1.0
24589,Adlershof,Treptow-Köpenick 2,2020,neighborhood_offence,493,2.0
13669,Adlershof,Treptow-Köpenick 2,2020,bike_theft,265,3.0
9144,Adlershof,Treptow-Köpenick 2,2021,theft_total,953,1.0
24744,Adlershof,Treptow-Köpenick 2,2021,neighborhood_offence,497,2.0
13824,Adlershof,Treptow-Köpenick 2,2021,bike_theft,250,3.0
9299,Adlershof,Treptow-Köpenick 2,2022,theft_total,1190,1.0
24899,Adlershof,Treptow-Köpenick 2,2022,neighborhood_offence,498,2.0
20219,Adlershof,Treptow-Köpenick 2,2022,prop_damage_total,248,3.0
7861,Albrechtstraße,Steglitz,2013,theft_total,1580,1.0
23461,Albrechtstraße,Steglitz,2013,neighborhood_offence,831,2.0
10981,Albrechtstraße,Steglitz,2013,theft_parts_motor_vehicles,396,3.0
8016,Albrechtstraße,Steglitz,2014,theft_total,1442,1.0
23616,Albrechtstraße,Steglitz,2014,neighborhood_offence,791,2.0
18936,Albrechtstraße,Steglitz,2014,prop_damage_total,398,3.0
8171,Albrechtstraße,Steglitz,2015,theft_total,1408,1.0
23771,Albrechtstraße,Steglitz,2015,neighborhood_offence,790,2.0
19091,Albrechtstraße,Steglitz,2015,prop_damage_total,364,3.0
8326,Albrechtstraße,Steglitz,2016,theft_total,1627,1.0
23926,Albrechtstraße,Steglitz,2016,neighborhood_offence,777,2.0
11446,Albrechtstraße,Steglitz,2016,theft_parts_motor_vehicles,362,3.0
8481,Albrechtstraße,Steglitz,2017,theft_total,1317,1.0
24081,Albrechtstraße,Steglitz,2017,neighborhood_offence,680,2.0
19401,Albrechtstraße,Steglitz,2017,prop_damage_total,336,3.0
8636,Albrechtstraße,Steglitz,2018,theft_total,1442,1.0
24236,Albrechtstraße,Steglitz,2018,neighborhood_offence,777,2.0
19556,Albrechtstraße,Steglitz,2018,prop_damage_total,336,3.0
8791,Albrechtstraße,Steglitz,2019,theft_total,1461,1.0
24391,Albrechtstraße,Steglitz,2019,neighborhood_offence,825,2.0
19711,Albrechtstraße,Steglitz,2019,prop_damage_total,415,3.0
8946,Albrechtstraße,Steglitz,2020,theft_total,1406,1.0
24546,Albrechtstraße,Steglitz,2020,neighborhood_offence,888,2.0
19866,Albrechtstraße,Steglitz,2020,prop_damage_total,324,3.0
9101,Albrechtstraße,Steglitz,2021,theft_total,1370,1.0
24701,Albrechtstraße,Steglitz,2021,neighborhood_offence,951,2.0
20021,Albrechtstraße,Steglitz,2021,prop_damage_total,305,3.0
9256,Albrechtstraße,Steglitz,2022,theft_total,1327,1.0
24856,Albrechtstraße,Steglitz,2022,neighborhood_offence,818,2.0
20176,Albrechtstraße,Steglitz,2022,prop_damage_total,292,3.0
7803,Alexanderplatz,Zentrum,2013,theft_total,9408,1.0
23403,Alexanderplatz,Zentrum,2013,neighborhood_offence,2765,2.0
3123,Alexanderplatz,Zentrum,2013,physical_injuries_total,1336,3.0
7958,Alexanderplatz,Zentrum,2014,theft_total,10532,1.0
23558,Alexanderplatz,Zentrum,2014,neighborhood_offence,2907,2.0
3278,Alexanderplatz,Zentrum,2014,physical_injuries_total,1290,3.0
8113,Alexanderplatz,Zentrum,2015,theft_total,12456,1.0
23713,Alexanderplatz,Zentrum,2015,neighborhood_offence,3009,2.0
3433,Alexanderplatz,Zentrum,2015,physical_injuries_total,1476,3.0
8268,Alexanderplatz,Zentrum,2016,theft_total,13194,1.0
