Bezirke,Year,Population
Mitte,1991,341178
Mitte,1992,344622
Mitte,1993,344585
Mitte,1994,340777
Mitte,1995,338770
Mitte,1996,335191
Mitte,1997,327095
Mitte,1998,321232
Mitte,1999,317517
Mitte,2000,316335
Mitte,2001,318082
Mitte,2002,318683
Mitte,2003,315665
Mitte,2004,316047
Mitte,2005,318276
Mitte,2006,322167
Mitte,2007,323021
Mitte,2008,323303
Mitte,2009,327082
Mitte,2010,326650
Mitte,2011,333152
Mitte,2012,339974
Mitte,2013,348102
Mitte,2014,356506
Mitte,2015,363236
Mitte,2016,371407
Mitte,2017,377965
Mitte,2018,383457
Mitte,2019,385748
Mitte,2020,383360
Mitte,2021,385692
Mitte,2022,395599
Mitte,2023,397134
Friedrichshain-Kreuzberg,1991,262815
Friedrichshain-Kreuzberg,1992,261959
Friedrichshain-Kreuzberg,1993,262434
Friedrichshain-Kreuzberg,1994,261552
Friedrichshain-Kreuzberg,1995,259245
Friedrichshain-Kreuzberg,1996,256223
Friedrichshain-Kreuzberg,1997,250029
Friedrichshain-Kreuzberg,1998,245168
Friedrichshain-Kreuzberg,1999,243330
Friedrichshain-Kreuzberg,2000,243977
Friedrichshain-Kreuzberg,2001,245712
Friedrichshain-Kreuzberg,2002,247508
Friedrichshain-Kreuzberg,2003,249267
Friedrichshain-Kreuzberg,2004,252069
Friedrichshain-Kreuzberg,2005,255181
Friedrichshain-Kreuzberg,2006,259071
Friedrichshain-Kreuzberg,2007,260437
Friedrichshain-Kreuzberg,2008,262251
Friedrichshain-Kreuzberg,2009,259967
Friedrichshain-Kreuzberg,2010,261090
Friedrichshain-Kreuzberg,2011,265361
Friedrichshain-Kreuzberg,2012,269471
Friedrichshain-Kreuzberg,2013,273517
Friedrichshain-Kreuzberg,2014,275691
Friedrichshain-Kreuzberg,2015,278393
Friedrichshain-Kreuzberg,2016,281323
Friedrichshain-Kreuzberg,2017,283974
Friedrichshain-Kreuzberg,2018,289120
Friedrichshain-Kreuzberg,2019,290386
Friedrichshain-Kreuzberg,2020,289787
Friedrichshain-Kreuzberg,2021,289014
Friedrichshain-Kreuzberg,2022,293231
Friedrichshain-Kreuzberg,2023,293454
Pankow,1991,301746
Pankow,1992,303443
Pankow,1993,305204
Pankow,1994,306735
Pankow,1995,308042
Pankow,1996,311584
Pankow,1997,315253
Pankow,1998,319688
Pankow,1999,324807
Pankow,2000,329586
Pankow,2001,334086
Pankow,2002,337466
Pankow,2003,339608
Pankow,2004,342863
Pankow,2005,345953
Pankow,2006,350057
Pankow,2007,354558
Pankow,2008,356933
Pankow,2009,354711
Pankow,2010,360017
Pankow,2011,365021
Pankow,2012,370937
Pankow,2013,377532
Pankow,2014,384367
Pankow,2015,389976
Pankow,2016,397406
Pankow,2017,402289
Pankow,2018,407039
Pankow,2019,409335
Pankow,2020,410716
Pankow,2021,413168
Pankow,2022,420768
Pankow,2023,424307
Charlottenburg-Wilmersdorf,1991,331170
Charlottenburg-Wilmersdorf,1992,329491
Charlottenburg-Wilmersdorf,1993,328481
Charlottenburg-Wilmersdorf,1994,324011
Charlottenburg-Wilmersdorf,1995,321828
Charlottenburg-Wilmersdorf,1996,318898
Charlottenburg-Wilmersdorf,1997,315268
Charlottenburg-Wilmersdorf,1998,314377
Charlottenburg-Wilmersdorf,1999,312517
Charlottenburg-Wilmersdorf,2000,310614
Charlottenburg-Wilmersdorf,2001,310760
Charlottenburg-Wilmersdorf,2002,309487
Charlottenburg-Wilmersdorf,2003,308855
Charlottenburg-Wilmersdorf,2004,308541
Charlottenburg-Wilmersdorf,2005,308902
Charlottenburg-Wilmersdorf,2006,309421
Charlottenburg-Wilmersdorf,2007,310064
Charlottenburg-Wilmersdorf,2008,310763
Charlottenburg-Wilmersdorf,2009,312256
Charlottenburg-Wilmersdorf,2010,312340
Charlottenburg-Wilmersdorf,2011,314911
Charlottenburg-Wilmersdorf,2012,319289
Charlottenburg-Wilmersdorf,2013,322870
Charlottenburg-Wilmersdorf,2014,326354
Charlottenburg-Wilmersdorf,2015,330468
Charlottenburg-Wilmersdorf,2016,336249
Charlottenburg-Wilmersdorf,2017,338831
