Gender_Nationality,Year,Population
Total,1991,3443575
Total,1992,3456891
Total,1993,3461421
Total,1994,3452284
Total,1995,3446039
Total,1996,3428644
Total,1997,3387901
Total,1998,3358235
Total,1999,3340887
Total,2000,3331232
Total,2001,3337232
Total,2002,3336248
Total,2003,3330242
Total,2004,3333108
Total,2005,3339436
Total,2006,3348805
Total,2007,3353858
Total,2008,3362843
Total,2009,3369672
Total,2010,3387562
Total,2011,3427114
Total,2012,3469621
Total,2013,3517424
Total,2014,3562166
Total,2015,3610156
Total,2016,3670622
Total,2017,3711930
Total,2018,3748148
Total,2019,3769495
Total,2020,3769962
Total,2021,3775480
Total,2022,3850809
Total,2023,3878100
Male,1991,1642552
Male,1992,1654621
Male,1993,1660088
Male,1994,1660546
Male,1995,1662658
Male,1996,1658720
Male,1997,1640831
Male,1998,1628119
Male,1999,1620986
Male,2000,1616893
Male,2001,1620941
Male,2002,1621209
Male,2003,1619735
Male,2004,1623246
Male,2005,1628776
Male,2006,1635848
Male,2007,1638743
Male,2008,1643408
Male,2009,1646698
Male,2010,1655631
Male,2011,1676434
Male,2012,1699007
Male,2013,1725465
Male,2014,1750121
Male,2015,1779319
Male,2016,1813879
Male,2017,1836008
Male,2018,1855248
Male,2019,1865443
Male,2020,1866235
Male,2021,1868158
Male,2022,1902048
Male,2023,1918937
Female,1991,1801023
Female,1992,1802270
Female,1993,1801333
Female,1994,1791738
Female,1995,1783381
Female,1996,1769924
Female,1997,1747070
Female,1998,1730116
Female,1999,1719901
Female,2000,1714339
Female,2001,1716291
Female,2002,1715039
Female,2003,1710507
Female,2004,1709862
Female,2005,1710660
Female,2006,1712957
Female,2007,1715115
Female,2008,1719435
Female,2009,1722974
Female,2010,1731931
Female,2011,1750680
Female,2012,1770614
Female,2013,1791959
Female,2014,1812045
Female,2015,1830837
Female,2016,1856743
Female,2017,1875922
Female,2018,1892900
Female,2019,1904052
Female,2020,1903727
Female,2021,1907322
Female,2022,1948761
Female,2023,1959163
German,1991,3088219
German,1992,3070980
German,1993,3054784
German,1994,3033082
German,1995,3010341
German,1996,2984532
German,1997,2947654
German,1998,2920299
German,1999,2903110
German,2000,2896115
German,2001,2896886
German,2002,2893694
German,2003,2886215
German,2004,2882208
German,2005,2878881
German,2006,2881122
German,2007,2883854
German,2008,2892792
German,2009,2909485
German,2010,2929756
German,2011,2948902
German,2012,2965676
German,2013,2978695
German,2014,2988824
German,2015,2989081
German,2016,2993881
German,2017,3000648
German,2018,2999676
German,2019,2992150
German,2020,2980886
German,2021,2964146
German,2022,2950665
German,2023,2931731
Foreigner,1991,355356
Foreigner,1992,385911
Foreigner,1993,406637
Foreigner,1994,419202
Foreigner,1995,435698
Foreigner,1996,444112
Foreigner,1997,440247
Foreigner,1998,437936
Foreigner,1999,437777
Foreigner,2000,435117
Foreigner,2001,440346
Foreigner,2002,442554
Foreigner,2003,444027
Foreigner,2004,450900
Foreigner,2005,460555
Foreigner,2006,467683
Foreigner,2007,470004
Foreigner,2008,470051
Foreigner,2009,460187
Foreigner,2010,457806
Foreigner,2011,478212
Foreigner,2012,503945
Foreigner,2013,538729
Foreigner,2014,573342
Foreigner,2015,621075
Foreigner,2016,676741
Foreigner,2017,711282
Foreigner,2018,748472
Foreigner,2019,777345
Foreigner,2020,789076
Foreigner,2021,811334
Foreigner,2022,900144
Foreigner,2023,946369
