key,neighborhood,district,year,crimes_total,robbery,street_handbag_roberry,physical_injuries_total,dangerous_serious_bodily_harm,dep_of_liberty_coercion_threats_stalking,theft_total,theft_of_motor_vehicles,theft_parts_motor_vehicles,bike_theft,res_burglarly,arson_offense_total,arson,prop_damage_total,prop_damage_graffiti,drugs,neighborhood_offence
010000,Mitte,Mitte-Total,2013," 25,303 ", 319 , 167 ," 2,187 ", 572 , 650 ," 11,442 ", 186 ," 1,383 "," 1,032 ", 436 , 95 , 35 ," 1,672 ", 405 , 834 ," 4,746 "
011001,Tiergarten Süd,Mitte,2013," 36,863 ", 557 , 366 ," 3,522 "," 1,106 ", 801 ," 17,399 ", 99 ," 2,501 ", 984 , 473 , 99 , 30 ," 1,677 ", 152 , 732 ," 6,511 "
011002,Regierungsviertel,Mitte,2013," 75,823 ", 472 , 204 ," 5,213 "," 1,384 "," 1,330 "," 39,054 ", 193 ," 3,014 "," 2,349 ", 354 , 43 , 11 ," 3,701 "," 1,620 ", 622 ," 8,903 "
011003,Alexanderplatz,Mitte,2013," 36,892 ", 382 , 228 ," 2,773 ", 724 , 631 ," 19,528 ", 160 ," 1,378 "," 1,673 ", 583 , 81 , 35 ," 2,416 ", 888 ," 1,007 "," 5,739 "
011004,Brunnenstraße Süd,Mitte,2013," 16,464 ", 120 , 34 , 812 , 184 , 237 ," 9,153 ", 372 , 861 ," 1,294 ", 515 , 23 , 11 ," 1,429 ", 632 , 259 ," 3,618 "
012005,Moabit West,Mitte,2013," 15,223 ", 205 , 98 ," 1,349 ", 357 , 541 ," 5,511 ", 166 , 980 , 766 , 324 , 103 , 28 ," 1,169 ", 208 , 460 ," 3,030 "
012006,Moabit Ost,Mitte,2013," 27,815 ", 203 , 96 ," 1,698 ", 400 , 495 ," 9,431 ", 220 ," 1,146 ", 960 , 360 , 90 , 45 ," 1,258 ", 217 , 932 ," 3,643 "
013007,Osloer Straße,Mitte,2013," 21,057 ", 329 , 163 ," 2,165 ", 572 , 686 ," 9,566 ", 72 ," 1,018 ", 727 , 459 , 75 , 22 ," 1,139 ", 127 , 957 ," 4,505 "
013008,Brunnenstraße Nord,Mitte,2013," 19,039 ", 327 , 145 ," 1,790 ", 441 , 567 ," 8,967 ", 274 ," 1,343 ", 723 , 547 , 89 , 31 ," 1,293 ", 324 , 779 ," 4,339 "
014009,Parkviertel,Mitte,2013," 15,274 ", 198 , 85 ," 1,597 ", 479 , 609 ," 6,514 ", 160 ," 1,182 ", 665 , 361 , 66 , 38 ," 1,179 ", 189 , 505 ," 3,880 "
014010,Wedding Zentrum,Mitte,2013," 16,689 ", 277 , 128 ," 2,069 ", 619 , 690 ," 5,893 ", 87 ," 1,039 ", 577 , 372 , 128 , 46 ," 1,435 ", 216 , 915 ," 4,303 "
020000,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg-Total,2013," 19,413 ", 334 , 229 ," 1,767 ", 530 , 431 ," 9,024 ", 222 , 972 ," 1,296 ", 402 , 98 , 33 ," 1,878 ", 431 , 882 ," 4,163 "
021001,Südliche  Friedrichstadt,Friedrichshain-Kreuzberg,2013," 20,168 ", 304 , 172 ," 1,710 ", 470 , 597 ," 8,514 ", 139 ," 1,563 ", 850 , 470 , 104 , 38 ," 1,558 ", 283 , 650 ," 4,138 "
022002,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,2013," 14,827 ", 192 , 105 ," 1,209 ", 358 , 400 ," 7,339 ", 214 , 887 ," 1,423 ", 545 , 50 , 23 ," 1,125 ", 264 , 408 ," 2,947 "
023003,Nördliche Luisenstadt,Friedrichshain-Kreuzberg,2013," 22,558 ", 478 , 351 ," 2,155 ", 750 , 468 ," 11,717 ", 159 , 651 ," 1,476 ", 459 , 126 , 19 ," 2,043 ", 497 , 810 ," 4,708 "
023004,Südliche Luisenstadt,Friedrichshain-Kreuzberg,2013," 20,462 ", 689 , 562 ," 2,027 ", 725 , 355 ," 8,581 ", 214 , 577 ," 1,338 ", 450 , 109 , 47 ," 1,708 ", 508 ," 2,317 "," 4,435 "
024005,Karl-Marx-Allee Nord,Friedrichshain-Kreuzberg,2013," 10,468 ", 128 , 71 , 894 , 279 , 279 ," 5,827 ", 252 , 753 , 797 , 248 , 58 , 4 ," 1,032 ", 115 , 106 ," 2,657 "
024006,Karl-Marx-Allee Süd,Friedrichshain-Kreuzberg,2013," 25,516 ", 307 , 213 ," 2,300 ", 661 , 482 ," 12,199 ", 213 ," 1,109 "," 1,058 ", 290 , 55 , 13 ," 2,291 ", 734 , 785 ," 5,014 "
025007,Frankfurter Allee Nord,Friedrichshain-Kreuzberg,2013," 14,086 ", 101 , 51 , 979 , 265 , 272 ," 6,220 ", 272 , 486 ," 1,370 ", 275 , 101 , 47 ," 1,432 ", 207 , 217 ," 2,918 "
025008,Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,2013," 18,077 ", 230 , 144 ," 1,842 ", 618 , 308 ," 8,313 ", 188 , 604 ," 1,294 ", 304 , 118 , 55 ," 2,522 ", 669 , 958 ," 4,339 "
030000,Pankow,Pankow-Total,2013," 10,458 ", 89 , 39 , 747 , 169 , 281 ," 5,636 ", 231 , 840 ," 1,125 ", 265 , 62 , 30 ," 1,096 ", 288 , 144 ," 2,241 "
031001,Buch,Pankow,2013," 11,336 ", 81 , 30 , 857 , 148 , 488 ," 5,860 ", 126 , 968 ," 1,020 ", 214 , 126 , 67 ," 1,633 ", 576 , 229 ," 2,232 "
032002,Blankenfelde/Niederschönhausen,Pankow,2013," 6,421 ", 58 , 15 , 448 , 108 , 278 ," 3,185 ", 127 , 934 , 645 , 228 , 66 , 27 , 610 , 108 , 62 ," 1,382 "
032003,Buchholz,Pankow,2013," 5,779 ", 18 , 12 , 412 , 106 , 189 ," 2,757 ", 265 , 401 , 247 , 130 , 12 , -   , 725 , 130 , 47 , 984 
033004,Karow,Pankow,2013," 4,937 ", 21 , 11 , 559 , 102 , 215 ," 2,423 ", 38 , 548 , 521 , 193 , 32 , 16 , 446 , 64 , 32 ," 1,085 "
033005,Blankenburg/Heinersdorf/Märchenland,Pankow,2013," 9,564 ", 35 , 7 , 408 , 77 , 225 ," 5,419 ", 225 ," 1,316 ", 816 , 436 , 63 , 49 , 584 , 42 , 99 ," 1,063 "
034006,Schönholz/Wilhelmsruh/Rosenthal,Pankow,2013," 5,792 ", 76 , 41 , 325 , 76 , 209 ," 3,370 ", 76 , 720 , 720 , 389 , 29 , 12 , 401 , 76 , 58 ," 1,075 "
034007,Pankow Zentrum,Pankow,2013," 10,355 ", 102 , 30 , 612 , 126 , 264 ," 6,086 ", 123 , 667 ," 1,627 ", 306 , 30 , 15 , 910 , 201 , 69 ," 2,162 "
034008,Pankow Süd,Pankow,2013," 7,109 ", 46 , 25 , 704 , 166 , 261 ," 3,576 ", 148 , 566 ," 1,193 ", 181 , 40 , 15 , 655 , 98 , 83 ," 1,817 "
035009,Weißensee,Pankow,2013," 9,185 ", 77 , 21 , 746 , 151 , 347 ," 4,683 ", 178 , 619 , 714 , 187 , 68 , 44 ," 1,197 ", 284 , 110 ," 2,728 "
