key,neighborhood,district,year,crimes_total,robbery,street_handbag_roberry,physical_injuries_total,dangerous_serious_bodily_harm,dep_of_liberty_coercion_threats_stalking,theft_total,theft_of_motor_vehicles,theft_parts_motor_vehicles,bike_theft,res_burglarly,arson_offense_total,arson,prop_damage_total,prop_damage_graffiti,drugs,neighborhood_offence,,,,,,,,,,,,,,,,,,,
999999,Berlin,Berlin,2013,503165,6222,3191,41795,10341,14916,226279,6659,36034,26513,11566,2565,973,43481,9659,13348,102273,,,,,,,,,,,,,,,,,,,
999999,Berlin,Berlin,2014,543156,5697,3287,40736,9946,14419,242899,6664,36427,30758,12159,2347,917,42894,9239,13465,100363,,,,,,,,,,,,,,,,,,,
999999,Berlin,Berlin,2015,569549,5407,2951,40675,10029,13937,267123,6692,35113,32244,11815,2120,841,41954,9894,15753,102589,,,,,,,,,,,,,,,,,,,
999999,Berlin,Berlin,2016,568860,5156,3015,42847,10456,14352,270880,7349,34862,34418,11507,2542,1039,44066,10501,14880,102793,,,,,,,,,,,,,,,,,,,
999999,Berlin,Berlin,2017,520437,4242,2354,42742,10741,14167,228072,6666,32740,30325,8580,2215,874,41804,10913,16077,96416,,,,,,,,,,,,,,,,,,,
999999,Berlin,Berlin,2018,511677,4267,2449,43340,10813,14659,217148,5699,29080,30235,7574,2338,889,40734,9505,17266,99162,,,,,,,,,,,,,,,,,,,
999999,Berlin,Berlin,2019,513426,4473,2668,43485,10894,15364,207106,5775,26295,28711,7965,2624,1131,43935,10051,18950,102998,,,,,,,,,,,,,,,,,,,
999999,Berlin,Berlin,2020,504142,4362,2555,43225,10935,16265,198962,4399,28105,27588,7070,2743,1039,46710,10768,20906,105587,,,,,,,,,,,,,,,,,,,
999999,Berlin,Berlin,2021,482127,4072,2420,39318,10390,17880,179455,4273,31534,25438,4984,2764,1040,45254,9344,18820,99546,,,,,,,,,,,,,,,,,,,
999999,Berlin,Berlin,2022,519827,5016,3284,44425,11834,20672,213803,5581,33432,28801,6155,3106,1052,44837,8773,17062,112803,,,,,,,,,,,,,,,,,,,
