key,neighborhood,district,year,crimes_total,robbery,street_handbag_roberry,physical_injuries_total,dangerous_serious_bodily_harm,dep_of_liberty_coercion_threats_stalking,theft_total,theft_of_motor_vehicles,theft_parts_motor_vehicles,bike_theft,res_burglarly,arson_offense_total,arson,prop_damage_total,prop_damage_graffiti,drugs,neighborhood_offence
010000,Mitte,Mitte-Total,2013,25303,319,167,2187,572,650,11442,186,1383,1032,436,95,35,1672,405,834,4746
011001,Tiergarten Sued,Mitte,2013,36863,557,366,3522,1106,801,17399,99,2501,984,473,99,30,1677,152,732,6511
011002,Regierungsviertel,Mitte,2013,75823,472,204,5213,1384,1330,39054,193,3014,2349,354,43,11,3701,1620,622,8903
011003,Alexanderplatz,Mitte,2013,36892,382,228,2773,724,631,19528,160,1378,1673,583,81,35,2416,888,1007,5739
011004,Brunnenstrasse Sued,Mitte,2013,16464,120,34,812,184,237,9153,372,861,1294,515,23,11,1429,632,259,3618
012005,Moabit West,Mitte,2013,15223,205,98,1349,357,541,5511,166,980,766,324,103,28,1169,208,460,3030
012006,Moabit Ost,Mitte,2013,27815,203,96,1698,400,495,9431,220,1146,960,360,90,45,1258,217,932,3643
013007,Osloer Strasse,Mitte,2013,21057,329,163,2165,572,686,9566,72,1018,727,459,75,22,1139,127,957,4505
013008,Brunnenstrasse Nord,Mitte,2013,19039,327,145,1790,441,567,8967,274,1343,723,547,89,31,1293,324,779,4339
014009,Parkviertel,Mitte,2013,15274,198,85,1597,479,609,6514,160,1182,665,361,66,38,1179,189,505,3880
014010,Wedding Zentrum,Mitte,2013,16689,277,128,2069,619,690,5893,87,1039,577,372,128,46,1435,216,915,4303
020000,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg-Total,2013,19413,334,229,1767,530,431,9024,222,972,1296,402,98,33,1878,431,882,4163
021001,Suedliche  Friedrichstadt,Friedrichshain-Kreuzberg,2013,20168,304,172,1710,470,597,8514,139,1563,850,470,104,38,1558,283,650,4138
022002,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,2013,14827,192,105,1209,358,400,7339,214,887,1423,545,50,23,1125,264,408,2947
023003,Noerdliche Luisenstadt,Friedrichshain-Kreuzberg,2013,22558,478,351,2155,750,468,11717,159,651,1476,459,126,19,2043,497,810,4708
023004,Suedliche Luisenstadt,Friedrichshain-Kreuzberg,2013,20462,689,562,2027,725,355,8581,214,577,1338,450,109,47,1708,508,2317,4435
024005,Karl-Marx-Allee Nord,Friedrichshain-Kreuzberg,2013,10468,128,71,894,279,279,5827,252,753,797,248,58,4,1032,115,106,2657
024006,Karl-Marx-Allee Sued,Friedrichshain-Kreuzberg,2013,25516,307,213,2300,661,482,12199,213,1109,1058,290,55,13,2291,734,785,5014
025007,Frankfurter Allee Nord,Friedrichshain-Kreuzberg,2013,14086,101,51,979,265,272,6220,272,486,1370,275,101,47,1432,207,217,2918
025008,Frankfurter Allee Sued FK,Friedrichshain-Kreuzberg,2013,18077,230,144,1842,618,308,8313,188,604,1294,304,118,55,2522,669,958,4339
030000,Pankow,Pankow-Total,2013,10458,89,39,747,169,281,5636,231,840,1125,265,62,30,1096,288,144,2241
031001,Buch,Pankow,2013,11336,81,30,857,148,488,5860,126,968,1020,214,126,67,1633,576,229,2232
032002,Blankenfelde/Niederschoenhausen,Pankow,2013,6421,58,15,448,108,278,3185,127,934,645,228,66,27,610,108,62,1382
032003,Buchholz,Pankow,2013,5779,18,12,412,106,189,2757,265,401,247,130,12,0,725,130,47,984
033004,Karow,Pankow,2013,4937,21,11,559,102,215,2423,38,548,521,193,32,16,446,64,32,1085
033005,Blankenburg/Heinersdorf/Maerchenland,Pankow,2013,9564,35,7,408,77,225,5419,225,1316,816,436,63,49,584,42,99,1063
034006,Schoenholz/Wilhelmsruh/Rosenthal,Pankow,2013,5792,76,41,325,76,209,3370,76,720,720,389,29,12,401,76,58,1075
034007,Pankow Zentrum,Pankow,2013,10355,102,30,612,126,264,6086,123,667,1627,306,30,15,910,201,69,2162
034008,Pankow Sued,Pankow,2013,7109,46,25,704,166,261,3576,148,566,1193,181,40,15,655,98,83,1817
035009,Weissensee,Pankow,2013,9185,77,21,746,151,347,4683,178,619,714,187,68,44,1197,284,110,2728
035010,Weissensee Ost,Pankow,2013,8980,73,53,917,159,292,3985,133,910,399,173,186,146,830,120,199,2112
036011,Prenzlauer Berg Nordwest,Pankow,2013,12230,176,103,775,242,217,6778,357,706,1608,267,41,29,1272,299,197,2613
036012,Prenzlauer Berg Nord,Pankow,2013,12053,80,23,780,164,225,7192,329,783,1712,199,46,11,902,214,195,2224
036013,Helmholtzplatz,Pankow,2013,9633,64,18,621,180,193,5795,262,414,1270,414,46,9,1031,308,78,2596
036014,Prenzlauer Berg Ost,Pankow,2013,16937,165,77,999,242,262,8633,169,1128,1285,173,68,24,1922,951,250,2397
037015,Prenzlauer Berg Suedwest,Pankow,2013,14515,109,40,1253,334,206,8640,347,850,1366,475,60,36,1555,524,169,3510
037016,Prenzlauer Berg Sued,Pankow,2013,9243,45,19,474,96,234,4999,381,708,1249,279,54,19,977,208,144,2117
040000,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf-Total,2013,16061,199,80,1246,327,470,8021,224,1461,927,518,46,20,1172,277,368,3140
041001,Charlottenburg Nord,Charlottenburg-Wilmersdorf,2013,13355,277,76,1536,336,760,5117,315,1536,342,429,76,38,1107,71,803,3582
042002,Heerstrasse,Charlottenburg-Wilmersdorf,2013,11544,134,47,906,268,292,5902,268,1820,433,489,39,24,1237,528,150,1923
