key,neighborhood,neighborhood_original,Prognoseraum (Name),district,district_original,year,crimes_total,robbery,street_handbag_roberry,physical_injuries_total,dangerous_serious_bodily_harm,dep_of_liberty_coercion_threats_stalking,theft_total,theft_of_motor_vehicles,theft_parts_motor_vehicles,bike_theft,res_burglarly,arson_offense_total,arson,prop_damage_total,prop_damage_graffiti,drugs,neighborhood_offence,,,,,,,,,,,,,,,,,,,
010000,Mitte,Mitte,Mitte,Mitte-Total,Mitte-total,2013,86935,1096,573,7515,1966,2233,39314,638,4753,3547,1497,328,121,5744,1392,2864,16300,,,,,,,,,,,,,,,,,,,
011001,Tiergarten Sued,Tiergarten Süd,Zentrum,Mitte,Mitte,2013,4835,73,48,462,145,105,2282,13,328,129,62,13,4,220,20,96,854,,,,,,,,,,,,,,,,,,,
011002,Regierungsviertel,Regierungsviertel,Zentrum,Mitte,Mitte,2013,7069,44,19,486,129,124,3641,18,281,219,33,4,1,345,151,58,830,,,,,,,,,,,,,,,,,,,
011003,Alexanderplatz,Alexanderplatz,Zentrum,Mitte,Mitte,2013,17774,184,110,1336,349,304,9408,77,664,806,281,39,17,1164,428,485,2765,,,,,,,,,,,,,,,,,,,
011004,Brunnenstrasse Sued,Brunnenstraße Süd,Zentrum,Mitte,Mitte,2013,4378,32,9,216,49,63,2434,99,229,344,137,6,3,380,168,69,962,,,,,,,,,,,,,,,,,,,
012005,Moabit West,Moabit West,Moabit,Mitte,Mitte,2013,6522,88,42,578,153,232,2361,71,420,328,139,44,12,501,89,197,1298,,,,,,,,,,,,,,,,,,,
012006,Moabit Ost,Moabit Ost,Moabit,Mitte,Mitte,2013,9880,72,34,603,142,176,3350,78,407,341,128,32,16,447,77,331,1294,,,,,,,,,,,,,,,,,,,
013007,Osloer Strasse,Osloer Straße,Gesundbrunnen,Mitte,Mitte,2013,7614,119,59,783,207,248,3459,26,368,263,166,27,8,412,46,346,1629,,,,,,,,,,,,,,,,,,,
013008,Brunnenstrasse Nord,Brunnenstraße Nord,Gesundbrunnen,Mitte,Mitte,2013,6818,117,Eso,641,158,203,3211,98,481,259,196,32,11,463,116,279,1554,,,,,,,,,,,,,,,,,,,
014009,Parkviertel,Parkviertel,Wedding,Mitte,Mitte,2013,6476,84,36,677,203,258,2762,68,501,282,153,28,16,500,80,214,1645,,,,,,,,,,,,,,,,,,,
014010,Wedding Zentrum,Wedding Zentrum,Wedding,Mitte,Mitte,2013,9026,150,69,1119,335,373,3187,47,562,312,201,69,25,776,117,495,2327,,,,,,,,,,,,,,,,,,,
020000,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg-Total,Friedrichshain-Kreuzberg-total,2013,52647,906,622,4792,1437,1168,24474,602,2636,3515,1090,265,90,5094,1168,2391,11289,,,,,,,,,,,,,,,,,,,
021001,Suedliche  Friedrichstadt,Südliche  Friedrichstadt,Kreuzberg Nord,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2013,7974,120,68,676,186,236,3366,55,618,336,186,41,15,616,112,257,1636,,,,,,,,,,,,,,,,,,,
022002,Tempelhofer Vorstadt,Tempelhofer Vorstadt,Kreuzberg Süd,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2013,9198,119,65,750,222,248,4553,133,550,883,338,31,14,698,164,253,1828,,,,,,,,,,,,,,,,,,,
023003,Noerdliche Luisenstadt,Nördliche Luisenstadt,Kreuzberg Ost,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2013,4815,102,75,460,160,100,2501,34,139,315,98,27,4,436,106,173,1005,,,,,,,,,,,,,,,,,,,
023004,Suedliche Luisenstadt,Südliche Luisenstadt,Kreuzberg Ost,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2013,5642,190,155,559,200,98,2366,59,159,369,124,30,13,471,140,639,1223,,,,,,,,,,,,,,,,,,,
024005,Karl-Marx-Allee Nord,Karl-Marx-Allee Nord,Friedrichshain West,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2013,2364,29,16,202,63,63,1316,57,170,180,56,13,1,233,26,24,600,,,,,,,,,,,,,,,,,,,
024006,Karl-Marx-Allee Sued,Karl-Marx-Allee Süd,Friedrichshain West,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2013,5980,72,50,539,155,113,2859,50,260,248,68,13,3,537,172,184,1175,,,,,,,,,,,,,,,,,,,
025007,Frankfurter Allee Nord,Frankfurter Allee Nord,Friedrichshain Ost,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2013,3886,28,14,270,73,75,1716,75,134,378,76,28,13,395,57,60,805,,,,,,,,,,,,,,,,,,,
025008,Frankfurter Allee Sued FK,Frankfurter Allee Süd FK,Friedrichshain Ost,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2013,8566,109,68,873,293,146,3939,89,286,613,144,56,26,1195,317,454,2056,,,,,,,,,,,,,,,,,,,
